Frame,Class,Color,Conf,x1,y1,x2,y2
0,traffic light,Red,0.7008,687,356,731,443
1,traffic light,Red,0.7308,687,356,731,443
2,traffic light,Red,0.7171,688,356,731,443
3,traffic light,Red,0.7217,688,356,731,443
4,traffic light,Red,0.6928,688,356,731,443
5,traffic light,Red,0.6926,688,356,731,443
6,traffic light,Red,0.6916,688,356,731,443
7,traffic light,Red,0.7142,688,356,731,443
8,traffic light,Red,0.7215,688,356,731,443
9,traffic light,Red,0.7038,688,356,731,443
10,traffic light,Red,0.7056,688,356,731,443
11,traffic light,Red,0.6869,688,356,731,443
12,traffic light,Red,0.6953,688,356,731,443
13,traffic light,Red,0.7094,688,356,731,442
14,traffic light,Red,0.7132,688,356,730,442
15,traffic light,Red,0.7235,688,356,730,442
16,traffic light,Red,0.7187,688,356,730,442
17,traffic light,Red,0.7224,688,356,730,442
18,traffic light,Red,0.7207,688,356,730,442
19,traffic light,Red,0.7397,688,356,730,442
20,traffic light,Red,0.7381,688,357,730,442
21,traffic light,Red,0.7260,688,357,730,442
22,traffic light,Red,0.7247,688,357,730,442
23,traffic light,Red,0.7222,688,357,730,442
24,traffic light,Red,0.7177,688,357,730,442
25,traffic light,Red,0.7180,688,357,730,442
26,traffic light,Red,0.7227,688,357,730,442
27,traffic light,Red,0.7179,688,357,730,442
28,traffic light,Red,0.7158,688,357,730,442
29,traffic light,Red,0.7145,688,357,730,442
30,traffic light,Red,0.7162,687,357,731,442
31,traffic light,Red,0.7083,687,357,730,442
32,traffic light,Red,0.7136,687,357,730,442
33,traffic light,Red,0.7263,687,357,730,442
34,traffic light,Red,0.7170,687,357,730,442
35,traffic light,Red,0.7170,687,357,730,442
36,traffic light,Red,0.7166,687,357,730,442
37,traffic light,Red,0.7106,687,357,730,442
38,traffic light,Red,0.7252,687,357,730,442
39,traffic light,Red,0.7140,687,357,730,442
40,traffic light,Red,0.7128,687,357,730,442
41,traffic light,Red,0.7279,687,357,730,442
42,traffic light,Red,0.7198,687,357,730,442
43,traffic light,Red,0.7309,687,357,730,442
44,traffic light,Red,0.7438,687,357,730,442
45,traffic light,Red,0.7537,687,357,730,442
46,traffic light,Red,0.7586,687,357,730,442
47,traffic light,Red,0.7698,687,357,731,442
48,traffic light,Red,0.7646,687,357,731,442
49,traffic light,Red,0.7567,687,357,731,442
50,traffic light,Red,0.6739,687,356,731,442
51,traffic light,Red,0.6895,687,356,730,442
52,traffic light,Red,0.6784,686,356,731,441
53,traffic light,Red,0.6730,687,356,730,442
54,traffic light,Red,0.6852,687,356,730,442
55,traffic light,Red,0.6910,687,356,730,442
56,traffic light,Red,0.6933,687,356,730,442
57,traffic light,Red,0.6983,687,356,730,442
58,traffic light,Red,0.7048,687,356,730,442
59,traffic light,Red,0.7103,687,356,729,442
